name,hashedname,DevEUI
GSCHB.2.011 - School HOGENT,ff62ac188200bf69bde02bb5deaa2b54f295211d441456ccfb0ceb665cabbd4d,A81758FFFE056DAD
GSCHB.4.008 - School HOGENT,4f873c43d98269b61561a7113ec3e3627f5ccea743084244295ca2e493f515b2,A81758FFFE056DAE
GSCHB.4.010 - School HOGENT,2b37198a91c15aeaf7de5576d3918fee8c037b0ec76dbde7d8e510b62f2093c4,A81758FFFE056DAF
GSCHB.4.011 - School HOGENT,8dbb14d295f92d92fa5e8a4816e09b790521ae6e11e5ee3631298ede74af791f,A81758FFFE056DB0
GSCHB.4.012 - School HOGENT,d07d3a47377836b611867e37f45a67687cf4917eb589c0f1c2b71b495c408140,A81758FFFE056DB1
GSCHB.4.013 - School HOGENT,f5e3a80f78e22f3d5afaf3c304ab6c7ff5c347927f3d54bb359750a4ed5a9b3a,A81758FFFE056DB2
GSCHB.4.014 - School HOGENT,4d6cb5f34ca348ed7bb6668221820955e9e7a5e7542d6f8e4f50d630a1e261b5,A81758FFFE056DB3
GSCHB.4.015 - School HOGENT,996d14914f2d4e0d539fb162dac093ad2307ad823d062f081c7d1de8c7af85b1,A81758FFFE056DB4
GSCHB.4.016 - School HOGENT,bbe85695b0e4c4ff2d3fc6d8337376a5e045a1ce99539fa98e3ad8afb4cf69ea,A81758FFFE056DB5
GSCHB.4.017 - School HOGENT,7f952b0eed488e0308efedc2727b47ad63dfb44a5756467f1c54ef82419f754e,A81758FFFE056DB6
GSCHB.4.026 - School HOGENT,c38c74837a6af5a6f84323f5658490381bac898d76b48607cc03cddc549f23e2,A81758FFFE056DB7
GMRCG.4.006 - School HOGENT,7657e16c7df2b88a7b8c06b551ba6a8e0e5be82abd6ecdb469a58f3a4523c023,A81758FFFE056DB8
GMRCG.4.007 - School HOGENT,f6bd704a24a4e5e89d6f3cfb44770299fc83d9f90db4dd0d83ba5ff6dbb3d8a4,A81758FFFE056DB9
GMRCG.4.011 - School HOGENT,1b952257535d98a371ca3be2a2aa35c9c7f34abd435fbd857b8b179963dea682,A81758FFFE056DBA
GMRCG.4.012 - School HOGENT,e1ef9448ae319636500ff3d38afe0fb2643f7f65a4d4503718d61c475b35478a,A81758FFFE056DBB
GMRCG.4.013 - School HOGENT,e8c598ece349ddb3e9c0a3561247a35ca3c5481eb9bacce40c6a3e8e6cb827c0,A81758FFFE056DBC
GMRCG.4.015 - School HOGENT,cc8bc81ddc95c6c8744e3bc7fc4e7b049059f8d94e60cec32991e089466f9a3f,A81758FFFE056DBD
GMRCG.4.016 - School HOGENT,bfb6eb9b03d990e75a4b21eb7fce6de86f0a91d21f3590f50c6409038f96086d,A81758FFFE056DBE
GMRCG.4.018 - School HOGENT,ce25ef681651050f37dd7b8b8eaf2d209bc0e56369506dbebf6f9b1981aa2283,A81758FFFE056DBF
GMRCG.4.019 - School HOGENT,802c6e56d88d991dcae63bfb85d6c1b30d948223d5d94619c435db837f8a3692,A81758FFFE056DC0
GMRCG.4.020 - School HOGENT,b870092c1ea6987d874b91b16b08e4bee317b7db9715ae208f64217f4fbaa5f2,A81758FFFE056DC1
GSCHB.3.007 - School HOGENT,5d06547077dc3b7bb264c9e061a57a837538f86ff6daf9224d97384d2255fee3,A81758FFFE056DD6
GSCHB.3.008 - School HOGENT,458858e9c70e2c20cd9400962488d309652ea9d8ee3c364bf159b18b2a4d4b15,A81758FFFE056DD7
GSCHB.3.009 - School HOGENT,43a1ff9125fb741c1b2556d5a048dec2ae4a6e0fe8d44f576171ab3b9ba5b2ff,A81758FFFE056DD8
GSCHB.3.011 - School HOGENT,7180e9b515859de9b3bb971f4f1e457dccc1b517ed3d97503eb9e6067b1cbc2c,A81758FFFE056DD9
